Label,Message,Cleaned_Message
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner value network customer select receivea prize reward claim call claim code kl valid hour
0,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,yar lor keep rain non stop u wan go elsewhere
0,Otherwise had part time job na-tuition..,otherwise part time job natuition
0,Good words.... But words may leave u in dismay many times.,good word word may leave u dismay many time
0,Oooh bed ridden ey? What are YOU thinking of?,oooh bed ride ey think
0,4 oclock at mine. Just to bash out a flat plan.,oclock mine bash flat plan
1,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd,gsoh good spam ladiesu could b male gigolo join uks fast grow men club reply oncall mjzgroup stop reply stop emailplaceholder
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like ltgt half eighth smart though get almost whole second gram ltgt
0,Im good! I have been thinking about you...,good think
0,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,one day crab run sea shorethe wave came n clear footprint crab crab ask frnd r u clear beautiful footprint wave reply fox follow ur footprint catch clear frndsship never let u dwn gud nyt
0,Dunno he jus say go lido. Same time 930.,dunno jus say go lido time
1,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",free msg get gnarl barkleys crazy ringtone totally free reply go message right
0,Have you always been saying welp?,always say welp
1,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,get official england poly ringtone colour flag yer mobile tonight game text tone flag optout txt eng stop box wwx
0,Gud mrng dear hav a nice day,gud mrng dear hav nice day
0,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,also thk fast xy suggest one u dun wan ok go rain leh get gd
0,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",fran decide go n e way completely break knackered get bout c u mrw love janx ps dad fone credit
1,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,message free welcome new improved sex dog club unsubscribe service reply stop emailplaceholder
1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,free st week nokia tone ur mobile every week txt nokia get txte tell ur mate urlplaceholder pobox wwq normptone
0,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,cool like swim pool jacuzzi house
0,Of course. I guess god's just got me on hold right now.,course guess god get hold right
0,Oh just getting even with u.... u?,oh get even u u
0,Whos this am in class:-),class
0,Loosu go to hospital. De dont let it careless.,loosu go hospital de not let careless
0,"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",k roommate also want dubsack another friend may also want plan bring extra ill tell know sure
0,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... ",oh haha den shld go today gee nvm la kaiez dun mind goin jazz oso scare hiphop open can not catch
0,I'm very happy for you babe ! Woo hoo party on dude!,happy babe woo hoo party dude
0,Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,allo brave bus take train triumph mean bham jolly good rest week
0,Tell them no need to investigate about me anywhere.,tell need investigate anywhere
1,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",urgent please call abta complimentary spanish holiday cash await collection sae tcs box po ez ppm
0,You call him now ok i said call him,call ok say call
1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile award bonus caller prize final try contact u call landline boxwrc ppm
0,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,miss call miss call khelate kintu opponenter miss call dhorte lage rule one great phone receive quality win
0,Wife.how she knew the time of murder exactly,wifehow know time murder exactly
0,U having lunch alone? I now so bored...,u lunch alone bored
0,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.,true lov n care wil nevr go unrecognized though somone often make mistake value definitly undrstnd start miss
0,i thought we were doing a king of the hill thing there.,think king hill thing
0,I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,thk get to go home urself cos ill b go shop fren present
0,Studying. But i.ll be free next weekend.,study ill free next weekend
0,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,love ya try budget money well babe gary would freak know
0,Ok...,ok
0,Genius what's up. How your brother. Pls send his number to my skype.,genius brother pls send number skype
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get lay tonight want real dog location send direct ur mob join uks large dog network bt txte gravel not eca emailplaceholder
0,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",wish family merry x mas happy new year advance
0,Is fujitsu s series lifebook good?,fujitsu series lifebook good
0,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,friendship poem dear dear u r near hear not get fear live cheer tear u r always dear gud ni
0,"Haha yeah, 2 oz is kind of a shitload",haha yeah oz kind shitload
0,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,make girl happy difficult make girl happy u need friend companion lover chef ltgt good listener ltgt organizer ltgt good boyfriend ltgt clean ltgt sympathetic ltgt athletic ltgt warm ltgt courageous ltgt determined ltgt true ltgt dependable ltgt intelligent ltgt psychologist ltgt p exterminator ltgt psychiatrist ltgt healer ltgt stylist ltgt driver aaniye pudunga venaam
0,Arun can u transfr me d amt,arun u transfr amt
0,Prabha..i'm soryda..realy..frm heart i'm sory,prabhaim sorydarealyfrm heart sory
0,Its a part of checking IQ,part check iq
0,Nothing spl..wat abt u and whr ru?,nothing splwat abt u whr ru
0,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",yeah quite bit left ill swing tomorrow get
0,"Looks like you found something to do other than smoke, great job!",look like find something smoke great job
0,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",babe get enough money pick bread milk ill give back get home
0,I had askd u a question some hours before. Its answer,askd u question hour answer
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda number end select receive award match please call quote claim code standard rate app
0,Dont pick up d call when something important is There to tell. Hrishi,not pick call something important tell hrishi
1,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,text banneduk see cost p textoperator gga xxx
0,Missing you too.pray inshah allah,miss toopray inshah allah
0,HELLO PEACH! MY CAKE TASTS LUSH!,hello peach cake tast lush
0,Guessin you ain't gonna be here before 9?,guessin be not go to
0,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",anyways go gym whatever love smile hope ok good day babe miss much already
0,"Probably not, still going over some stuff here",probably still go stuff
0,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,get call landline number ask come anna nagar go afternoon
0,Dude ive been seeing a lotta corvettes lately,dude see lotta corvette lately
0,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\""",world suffer lot violence bad people silence good people
1,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,dear dave final notice collect tenerife holiday cash award call landline tcs sae box cwwx ppm
0,COME BACK TO TAMPA FFFFUUUUUUU,come back tampa ffffuuuuuuu
0,I can do that! I want to please you both inside and outside the bedroom...,want please inside outside bedroom
0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,hey pple nightsexcellent location wif breakfast hamper
0,Oh is it? Send me the address,oh send address
0,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,sorry can not take call right happen r waxsto wat want come ill get medical insurance shell able deliver basic care currently shop right medical insurance give til friday morning ill see major person guide right insurance
0,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",u wake already wat u u pick we later rite take sq reach ard smth like dat u check e arrival time c ya soon
0,Was the farm open?,farm open
0,Speaking of does he have any cash yet?,speak cash yet
0,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,not make life stressfull always find time laugh may add year life surely add life ur year gud niswt dream
0,Lmao ok I wont be needing u to do my hair anymore.,lmao ok will not need u hair anymore
0,My uncles in Atlanta. Wish you guys a great semester.,uncle atlanta wish guy great semester
0,Ultimately tor motive tui achieve korli.,ultimately tor motive tui achieve korli
0,\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,please come imin towndontmatter urgoin outlr
0,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",moment dayhas valuemorning bring hopeafternoon bring faithevening bring luvnight bring restwish u find todaygood morning
1,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,december mobile mth entitle update late colour camera mobile free call mobile update co free
0,I emailed yifeng my part oredi.. Can Ì_ get it fr him..,email yifeng part oredi get fr
0,No objection. My bf not coming.,objection bf come
0,Just come home. I don't want u to be miserable,come home not want u miserable
1,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",congrat mobile g videophone r call videochat wid ur mate play java games dload polyh music noline rentl bx ip pm
0,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born",bear god say oh another idiot bear
1,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",not prize go another customer tc urlplaceholder pmin polo ltd suite london wj hl please call back busy
0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovable bcum angry wid u dnt take seriously coz angry childish n true way show deep affection care n luv kettoda manda nice day da
0,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,yeah get list u joanna feel really anti social
0,"see you then, we're all christmassy here!",see christmassy
0,"K I'll head out in a few mins, see you there",k ill head min see
1,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call offer end thfebtcs apply
0,I guess it is useless calling u 4 something important.,guess useless call u something important
0,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,hey sexy bun day word morning ym think
0,I cant pick the phone right now. Pls send a message,can not pick phone right pls send message
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie come ken stuff
0,Thanks for looking out for me. I really appreciate.,thank look really appreciate
0,Going to join tomorrow.,go join tomorrow
1,Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412,good luck draw take place th feb good luck removal send stop customer service
0,He says hi and to get your ass back to south tampa (preferably at a kegger),say hi get ass back south tampa preferably kegger
0,The wine is flowing and i'm i have nevering..,wine flow nevere
0,Cant think of anyone with * spare room off * top of my head,can not think anyone spare room top head
1,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",hot live fantasy call p per min ntt ltd po box croydon cr wb national rate call
0,What happened to our yo date?,happen yo date
1,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret admirer reveal think u r special call opt reply reveal stop per msg recd cust care
0,What happen to her tell the truth,happen tell truth
0,"Nothing, i got msg frm tht unknown no..",nothing get msg frm tht unknown
0,You could have seen me..i did't recognise you Face.:),could see mei didt recognise face
1,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",sm ac jsco energy high u may know channel day ur leadership skill r strong psychic reply ans wquestion end reply end jsco
0,Did he just say somebody is named tampa,say somebody name tampa
0,Yo theres no class tmrw right?,yo class tmrw right
1,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,urgent mobile number award prize guarantee call land line claim valid hrs ppm
0,Yes. that will be fine. Love you. Be safe.,yes fine love safe
0,Keep my payasam there if rinu brings,keep payasam rinu bring
0,What you need. You have a person to give na.,need person give na
0,Aiyah u did ok already lar. E nydc at wheellock?,aiyah u ok already lar e nydc wheellock
1,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,nokia tone ur mob every week txt nok st tone free get txtin tell ur friend ptone reply hl info
0,Not from this campus. Are you in the library?,campus library
0,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",enjoy shower possessiveness pour u ur love one bcoz world lie golden gift love truly
0,Surly ill give it to you:-) while coming to review.,surly ill give come review
1,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,lord ringsreturn king store nowreply lotr june chance win lotr soundtrack cds stdtxtrate reply stop end txts
0,"Pls send me a comprehensive mail about who i'm paying, when and how much.",pls send comprehensive mail pay much
1,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,current lead bid pause auction send customer care
0,"Me not waking up until 4 in the afternoon, sup",wake afternoon sup
0,Let me know when you've got the money so carlos can make the call,let know get money carlos make call
1,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",contact date service someone know find call mobile landline poboxldns
0,K:)i will give my kvb acc details:),ki give kvb acc detail
0,Ok. How many should i buy.,ok many buy
0,No calls..messages..missed calls,callsmessagesmisse call
0,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",yo parent gettin cash good news pick downstem
1,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,dear subscriber ur draw gift voucher b enter receipt correct an elvis presley birthday txt answer
0,S now only i took tablets . Reaction morning only.,take tablet reaction morning
0,My sister got placed in birla soft da:-),sister get place birla soft da
0,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",keep see weird shit bein woah realise actually reasonable oh
0,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",pls pls send mail know relative come deliver know cost risk benefit anything else thank
0,Can not use foreign stamps in this country. Good lecture .,use foreign stamp country good lecture
0,Mom wants to know where you at,mom want know
0,Early bird! Any purchases yet?,early bird purchase yet
0,Bring it if you got it,bring get
0,Okie...,okie
0,"Hiya, had a good day? Have you spoken to since the weekend?",hiya good day speak since weekend
0,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",japanese proverb one u none itu must indian version one let none itleave finally kerala version one stop none make strike
0,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx",oh yeahand hav great time newquaysend postcard look girl goneu know talkin boutxx
0,Try to do something dear. You read something for exams,try something dear read something exam
0,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",k make sense btw carlos difficult guy go to smoke go pick second batch get gas
0,What???? Hello wats talks email address?,hello wat talk email address
0,I'm reaching home in 5 min.,reach home min
